iter	Passed	Remaining
0	1	168
1	2	144
2	4	135
3	5	124
4	6	120
5	7	117
6	8	117
7	10	116
8	11	114
9	12	112
10	13	111
11	14	109
12	16	109
13	17	109
14	19	108
15	20	106
16	21	105
17	22	103
18	23	101
19	25	100
20	26	99
21	27	97
22	28	96
23	30	95
24	32	96
25	33	95
26	34	93
27	35	92
28	37	90
29	38	89
30	39	87
31	40	86
32	41	85
33	43	83
34	44	82
35	46	82
36	47	80
37	48	79
38	50	78
39	51	76
40	52	75
41	53	73
42	54	72
43	55	71
44	57	70
45	59	69
46	61	68
47	62	67
48	63	66
49	64	64
50	66	63
51	67	62
52	68	61
53	69	59
54	70	57
55	72	56
56	73	55
57	74	53
58	76	52
59	77	51
60	78	50
61	80	49
62	81	47
63	82	46
64	83	45
65	85	43
66	86	42
67	87	41
68	89	40
69	90	38
70	92	37
71	93	36
72	95	35
73	96	33
74	97	32
75	99	31
76	100	29
77	101	28
78	102	27
79	104	26
80	105	24
81	107	23
82	109	22
83	110	21
84	111	19
85	113	18
86	114	17
87	116	15
88	117	14
89	118	13
90	120	11
91	121	10
92	122	9
93	124	7
94	125	6
95	126	5
96	128	3
97	129	2
98	131	1
99	132	0
